playcount,name,tags,similar_artists
189,Caetano Veloso,"mpb, brazilian, Bossa Nova, tropicalia, brasil","Gilberto Gil, Gal Costa, Maria Bethânia, Chico Buarque, Moreno Veloso, Novos Baianos, Tom Zé, Ney Matogrosso, Milton Nascimento, Elis Regina"
131,David Bowie,"rock, glam rock, classic rock, 80s, alternative","Tin Machine, Lou Reed, Iggy Pop, Roxy Music, The Velvet Underground, T. Rex, Talking Heads, The Rolling Stones, Kate Bush, The Beatles"
122,Watson,"seen live, Grime, indie, rock, punk","Club Silêncio, J-Sweet, Blazin Beats, Kosha, Ripperman, D-Mize, IronSoul, Kizer, Dirty & Rapid, Prot(o)"
102,Kinky,"rock, alternative, electronic, mexico, latin","Plastilina Mosh, Zoé, Jumbo, La Gusana Ciega, Café Tacvba, El Gran Silencio, Porter, Bengala, Fobia, Ely Guerra"
99,Feist,"female vocalists, indie, singer-songwriter, Canadian, indie pop","Cat Power, Broken Social Scene, Laura Marling, Emily Haines & The Soft Skeleton, St. Vincent, Bat for Lashes, Rilo Kiley, Regina Spektor, Stars, Joan as Police Woman"
93,Björk,"electronic, alternative, experimental, female vocalists, icelandic","The Sugarcubes, Kate Bush, FKA twigs, Arca, Grimes, iamamiwhoami, Fiona Apple, M.I.A., St. Vincent, Fever Ray"
91,Wilco,"Alt-country, indie, seen live, indie rock, alternative","Jeff Tweedy, Tweedy, Uncle Tupelo, Loose Fur, Billy Bragg & Wilco, Silver Jews, Ryan Adams, Spoon, My Morning Jacket, Golden Smog"
87,Stevie Wonder,"soul, funk, motown, pop, rnb","Marvin Gaye, The Isley Brothers, Earth, Wind & Fire, The Jackson 5, Donny Hathaway, Prince, Curtis Mayfield, Sly & The Family Stone, Commodores, The Temptations"
87,The Flaming Lips,"indie, seen live, alternative, indie rock, rock","Animal Collective, Ween, Mercury Rev, of Montreal, Beck, Pavement, Modest Mouse, Grandaddy, The Olivia Tremor Control, Wilco"
81,The Rolling Stones,"classic rock, rock, british, 60s, blues","The Who, Keith Richards, Led Zeppelin, The Kinks, The Beatles, John Lennon, The Doors, The Yardbirds, Mick Jagger, Cream"
80,Depeche Mode,"electronic, new wave, 80s, synthpop, synth pop","Dave Gahan, Martin L. Gore, Camouflage, Recoil, Erasure, New Order, The Cure, Duran Duran, Pet Shop Boys, Orchestral Manoeuvres in the Dark"
80,Radiohead,"alternative, alternative rock, rock, indie, electronic","Thom Yorke, Atoms for Peace, Muse, Pixies, Arcade Fire, Blur, The Smiths, R.E.M., Placebo, Beck"
79,Pinback,"indie, indie rock, seen live, alternative, indie pop","Rob Crow, Three Mile Pilot, Minus the Bear, The American Analog Set, Built to Spill, Thingy, Modest Mouse, Pedro the Lion, Rogue Wave, Ugly Casanova"
73,Spoon,"indie, indie rock, seen live, alternative, rock","Divine Fits, The Walkmen, White Rabbits, The New Pornographers, The Shins, Wilco, Wolf Parade, TV on the Radio, Tapes 'n Tapes, My Morning Jacket"
